Id,GravityMod,UphillAngleThreshold,UphillSpeedAccelScaler,DownhillAngleThreshold,DownhillSpeedAccelScaler,DashSpeedScaler,DashAccelScaler,StaminaMax,StaminaRegenRate,StaminaDrainRate,StaminaLightHitThreshold,StaminaLightHitCost,StaminaHeavyHitThreshold,StaminaHeavyHitCost,StaminaHitRegenDelay,OnRoadMaxSpeed,OffRoadMaxSpeed,InVeryShallowWaterMaxSpeed,InShallowWaterMaxSpeed,InDeepWaterMaxSpeed,OnRoadMinSpeed,OffRoadMinSpeed,OnRoadWalkSpeed,OnRoadSlowWalkSpeed,OffRoadWalkSpeed,OffRoadSlowWalkSpeed,OnRoadAccel,OffRoadAccel,OnRoadDecel,OffRoadDecel,OnRoadTurnRateMinSpeed,OnRoadTurnRateMinSpeedGamepad,OffRoadTurnRateMinSpeed,OffRoadTurnRateMinSpeedGamepad,OnRoadTurnRateMidSpeed,OnRoadTurnRateMidSpeedGamepad,OffRoadTurnRateMidSpeed,OffRoadTurnRateMidSpeedGamepad,OnRoadTurnRateMaxSpeed,OnRoadTurnRateMaxSpeedGamepad,OffRoadTurnRateMaxSpeed,OffRoadTurnRateMaxSpeedGamepad,OnRoadTurnRateAtMinSpeed,OnRoadTurnRateAtMinSpeedGamepad,OffRoadTurnRateAtMinSpeed,OffRoadTurnRateAtMinSpeedGamepad,OnRoadTurnRateAtMidSpeed,OnRoadTurnRateAtMidSpeedGamepad,OffRoadTurnRateAtMidSpeed,OffRoadTurnRateAtMidSpeedGamepad,OnRoadTurnRateAtMaxSpeed,OnRoadTurnRateAtMaxSpeedGamepad,OffRoadTurnRateAtMaxSpeed,OffRoadTurnRateAtMaxSpeedGamepad,OnRoadWalkAccel,OffRoadWalkAccel,OnRoadWalkDecel,OffRoadWalkDecel,OnRoadWalkTurnRate,OffRoadWalkTurnRate,InVeryShallowWaterMinSpeed,InVeryShallowWaterAccel,InVeryShallowWaterDecel,InVeryShallowWaterTurnRateMinSpeed,InVeryShallowWaterTurnRateMinSpeedGamepad,InVeryShallowWaterTurnRateMidSpeed,InVeryShallowWaterTurnRateMidSpeedGamepad,InVeryShallowWaterTurnRateMaxSpeed,InVeryShallowWaterTurnRateMaxSpeedGamepad,InVeryShallowWaterTurnRateAtMinSpeed,InVeryShallowWaterTurnRateAtMinSpeedGamepad,InVeryShallowWaterTurnRateAtMidSpeed,InVeryShallowWaterTurnRateAtMidSpeedGamepad,InVeryShallowWaterTurnRateAtMaxSpeed,InVeryShallowWaterTurnRateAtMaxSpeedGamepad,InVeryShallowWaterWalkSpeed,InVeryShallowWaterSlowWalkSpeed,InVeryShallowWaterWalkAccel,InVeryShallowWaterWalkDecel,InVeryShallowWaterWalkTurnRate,InShallowWaterMinSpeed,InShallowWaterAccel,InShallowWaterDecel,InShallowWaterTurnRateMinSpeed,InShallowWaterTurnRateMinSpeedGamepad,InShallowWaterTurnRateMidSpeed,InShallowWaterTurnRateMidSpeedGamepad,InShallowWaterTurnRateMaxSpeed,InShallowWaterTurnRateMaxSpeedGamepad,InShallowWaterTurnRateAtMinSpeed,InShallowWaterTurnRateAtMinSpeedGamepad,InShallowWaterTurnRateAtMidSpeed,InShallowWaterTurnRateAtMidSpeedGamepad,InShallowWaterTurnRateAtMaxSpeed,InShallowWaterTurnRateAtMaxSpeedGamepad,InShallowWaterWalkSpeed,InShallowWaterSlowWalkSpeed,InShallowWaterWalkAccel,InShallowWaterWalkDecel,InShallowWaterWalkTurnRate,InDeepWaterMinSpeed,InDeepWaterAccel,InDeepWaterDecel,InDeepWaterTurnRateMinSpeed,InDeepWaterTurnRateMinSpeedGamepad,InDeepWaterTurnRateMidSpeed,InDeepWaterTurnRateMidSpeedGamepad,InDeepWaterTurnRateMaxSpeed,InDeepWaterTurnRateMaxSpeedGamepad,InDeepWaterTurnRateAtMinSpeed,InDeepWaterTurnRateAtMinSpeedGamepad,InDeepWaterTurnRateAtMidSpeed,InDeepWaterTurnRateAtMidSpeedGamepad,InDeepWaterTurnRateAtMaxSpeed,InDeepWaterTurnRateAtMaxSpeedGamepad,InDeepWaterWalkSpeed,InDeepWaterSlowWalkSpeed,InDeepWaterWalkAccel,InDeepWaterWalkDecel,InDeepWaterWalkTurnRate
ConfigMountRiding_78,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.155,7.674,7.2903,6.093,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_79,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.17,7.686,7.3017,6.102,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_80,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.185,7.698,7.3131,6.111,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_81,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.2,7.71,7.3245,6.12,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_82,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.215,7.722,7.3359,6.129,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_83,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.23,7.734,7.3473,6.138,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_84,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.245,7.746,7.3587,6.147,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_85,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.26,7.758,7.3701,6.156,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_86,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.275,7.77,7.3815,6.165,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_87,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.29,7.782,7.3929,6.174,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_88,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.305,7.794,7.4043,6.183,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_89,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.32,7.806,7.4157,6.192,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_90,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.335,7.818,7.4271,6.201,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_91,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.35,7.83,7.4385,6.21,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_92,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.365,7.842,7.4499,6.219,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_93,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.38,7.854,7.4613,6.228,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_94,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.395,7.866,7.4727,6.237,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_95,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.41,7.878,7.4841,6.246,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_96,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.425,7.89,7.4955,6.255,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_97,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.44,7.902,7.5069,6.264,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_98,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.455,7.914,7.5183,6.273,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_99,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.47,7.926,7.5297,6.282,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_100,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.485,7.938,7.5411,6.291,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.09,0.11,0.09,0.1,0.08,0.1,0.08,0.09,0.065,0.09,0.065,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.09,0.1,0.08,0.09,0.065,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.09,0.081,0.08,0.081,0.055,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.09,0.072,0.08,0.072,0.052,2.5,1.6,12,24,0.08
ConfigMountRiding_101,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.5,7.95,7.5525,6.3,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_102,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.515,7.962,7.5639,6.309,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_103,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.53,7.974,7.5753,6.318,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_104,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.545,7.986,7.5867,6.327,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_105,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.56,7.998,7.5981,6.336,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_106,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.575,8.01,7.6095,6.345,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_107,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,10.59,8.022,7.6209,6.354,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
