LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,TriggerLimitOnVisit,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,IgnoreHWMGS,LootBiasingEnabled,LootBiasingChanceOverride,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
InfluenceRaceItemGrant_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRaceItemGrant_Probs,,,,,,,,,,100000,,,,0,,,0,,,60000,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRace_LoserResult,AND,IgnoreBonus,,,,TRUE,,,,,,TRUE,,[LTID]InfluenceRace_LoserResultItemGrant,,,[LBID]InfluencePerkItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRace_LoserResult_Qty,,,,,,,,,,,,,,1,,,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRace_LoserResult_Probs,,,,,,,,,,100000,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRace_LoserResultItemGrant,OR,IgnoreBonus,Level,TRUE,,TRUE,,,,,,TRUE,,[LBID]Influence_AllArmor,,,[LBID]Influence_AllArmor,680-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRace_LoserResultItemGrant_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceRace_LoserResultItemGrant_Probs,,,,,,,,,,100000,,,,0,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceDarkMatter,OR,IgnoreBonus,Level,TRUE,,TRUE,,,,,,TRUE,,DarkMatter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceDarkMatter_Qty,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfluenceDarkMatter_Probs,,,,,,,,,,0,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_DailyReward_BelowMaxLevel_LT,AND,IgnoreBonus,,,,,,,,,,TRUE,1,AzureVialT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_DailyReward_BelowMaxLevel_LT_Qty,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_DailyReward_BelowMaxLevel_LT_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_Random_BelowMaxLvl_Cache,AND,IgnoreBonus,[LIM]PUGFinder_Expedition_DailyRandomRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_Expedition_DailyReward_BelowMaxLvl_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_Random_BelowMaxLvl_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_Random_BelowMaxLvl_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_Random_AtMaxLvl_Cache,AND,IgnoreBonus,[LIM]PUGFinder_Expedition_DailyRandomRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_Expedition_DailyReward_AtMaxLvl_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_Random_AtMaxLvl_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_Random_AtMaxLvl_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_PostDailyRuns_Cache,AND,IgnoreBonus,,,TRUE,,,,,,,TRUE,1,PUG_Expedition_PostDailyRuns_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_PostDailyRuns_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_PostDailyRuns_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_RoleInDemand_BelowMaxLvl_Cache,AND,IgnoreBonus,[LIM]PUGFinder_Expedition_DailyRoleRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_Expedition_RoleInDemand_BelowMaxLvl_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_RoleInDemand_BelowMaxLvl_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_RoleInDemand_BelowMaxLvl_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_RoleInDemand_AtMaxLvl_Cache,AND,IgnoreBonus,[LIM]PUGFinder_Expedition_DailyRoleRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_Expedition_RoleInDemand_AtMaxLvl_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_RoleInDemand_AtMaxLvl_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_Expedition_RoleInDemand_AtMaxLvl_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_Random_Cache,AND,IgnoreBonus,[LIM]PUGFinder_MutatedExpedition_DailyRandomRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_MutatedExpedition_DailyReward_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_Random_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_Random_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_RoleInDemand_Cache,AND,IgnoreBonus,[LIM]PUGFinder_MutatedExpedition_DailyRoleRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_MutatedExpedition_RoleInDemand_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_RoleInDemand_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_RoleInDemand_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_Carry_Cache,AND,IgnoreBonus,[LIM]PUGFinder_MutatedExpedition_DailyCarryRewards_Limit,,TRUE,,,,,,,TRUE,1,PUG_MutatedExpedition_Carry_LootCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_Carry_Cache_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG_MutatedExpedition_Carry_Cache_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPSmall,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPSmall_Qty,,,,,,,,,,,,,,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPSmall_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPMedium,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPMedium_Qty,,,,,,,,,,,,,,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPMedium_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPLarge,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,[LBID]GoldenCoconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPLarge_Qty,,,,,,,,,,,,,,40-60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPLarge_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvESmall,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVEResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvESmall_Qty,,,,,,,,,,,,,,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvESmall_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvEMedium,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVEResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvEMedium_Qty,,,,,,,,,,,,,,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvEMedium_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvELarge,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVEResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvELarge_Qty,,,,,,,,,,,,,,7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvELarge_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvEElite,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVEResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvEElite_Qty,,,,,,,,,,,,,,10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvEElite_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvE_TreasureMap,AND,ClampMax,CutlassKeys,,,TRUE,30,,,,,,,CK_PVEResource_DoubloonToken,,,[LBID]ResourceItems,,,[LBID]RecoveryItems,,,[LBID]EPOIKeyParts,,,[LBID]DungeonResources,,,[LTID]AzothRoll,,,[LBID]ChestShards,,,[LTID]SE_Music_Elite_Chest_Loot,,,[LBID]WoodenCoin,,,GoldenScarab,,,[LTID]ConcealedVault_Roll,,,[LBID]EliteChestUmbral,,,[LTID]ChestLootEliteItemRoll,,,[LTID]ChestLootEliteItemRoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvE_TreasureMap_Qty,,,,,,,,,,,,,,10-15,,,1,,,4,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvE_TreasureMap_Probs,,,,,,,,,,100000,,,,0,,,0,,,0,,,0,,,37000,,,92000,,,98000,,,0,,,50000,,,98000,,,0,,,85000,,,0,,,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestWeeklyKey,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVEResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestWeeklyKey_Qty,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestWeeklyKey_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureMaster,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,[LTID]DoubloonCreatureCommon,,,[LTID]DoubloonCreatureNamed,,,[LTID]DoubloonCreatureElite,,,[LTID]DoubloonCreatureEliteBoss,,,[LTID]GypsumYellowTable,,,[LTID]ArenaKeysAndParts,,,[LTID]SE_Music_Loot,,,[LTID]ArtifactsMaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureMaster_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureMaster_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureCommon,AND,ClampMax,Common,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureCommon_Qty,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureCommon_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureNamed,AND,ClampMax,Named,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,[LTID]GypsumBlack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureNamed_Qty,,,,,,,,,,,,,,3-6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureNamed_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureElite,AND,ClampMax,Elite,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureElite_Qty,,,,,,,,,,,,,,6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureElite_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureEliteBoss,AND,ClampMax,EliteBoss,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureEliteBoss_Qty,,,,,,,,,,,,,,12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCreatureEliteBoss_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPLarge_Spectral,AND,ClampMax,CutlassKeys,,,TRUE,,,,,,,,CK_PVPResource_DoubloonToken,,,[LBID]GoldenCoconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPLarge_Spectral_Qty,,,,,,,,,,,,,,45-55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonChestPvPLarge_Spectral_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCrateHelm_Table_700,AND,ClampMax,,,,TRUE,,,,,,1,1,[LBID]DoubloonCrateApex,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubloonCrateHelm_Table_700_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
